"epiweek","cases","tested","prevalence","year","cases_by_hospital","sum_precip","mean_H2M","meanTemp","meantempLag","precip_lag","n_hospitals"
2012-01-02,1,2,0.5,"2012",1,198.04,89.7871428571429,18.0035714285714,20.23,23.12,1
2012-01-09,0,2,0,"2012",0,52.7,85.1785714285714,19.9057142857143,20.7978571428571,3.3,1
2012-01-16,0,2,0,"2012",0,40.73,87.9371428571429,18.1792857142857,19.1971428571429,101.42,1
2012-01-23,0,3,0,"2012",0,39.13,86.3671428571429,20.2771428571429,20.4785714285714,198.04,1
2012-01-30,0,3,0,"2012",0,36.74,83.3757142857143,20.2842857142857,19.785,52.7,1
2012-02-06,0,4,0,"2012",0,129.8,84.7842857142857,19.9357142857143,20.4735714285714,40.73,1
2012-02-13,1,5,0.2,"2012",1,115.63,87.2671428571429,20.485,18.0035714285714,39.13,1
2012-02-27,0,1,0,"2012",0,210.93,92.2071428571429,18.1857142857143,19.9057142857143,36.74,1
2012-03-05,0,2,0,"2012",0,7.17,82.9371428571429,18.1221428571429,18.1792857142857,129.8,1
2012-03-12,0,4,0,"2012",0,48.79,88.15,18.5571428571429,20.2771428571429,115.63,1
2012-03-19,2,8,0.25,"2012",2,97.14,89.6242857142857,18.11,20.2842857142857,210.93,1
2012-03-26,0,2,0,"2012",0,98.48,87.0885714285714,18.9521428571429,19.9357142857143,7.17,1
2012-04-02,1,12,0.0833333333333333,"2012",1,173.52,89.6171428571429,18.3678571428571,20.485,48.79,1
2012-04-09,2,6,0.333333333333333,"2012",2,77.96,91.5442857142857,18.2328571428571,18.1857142857143,97.14,1
2012-04-16,5,9,0.555555555555556,"2012",5,32.53,90.4214285714286,18.7878571428571,18.1221428571429,98.48,1
2012-04-23,2,2,1,"2012",2,17.75,89.7314285714286,16.8314285714286,18.5571428571429,173.52,1
2012-04-30,6,8,0.75,"2012",6,20.96,90.15,16.0707142857143,18.11,77.96,1
2012-05-07,0,3,0,"2012",0,24.18,88.5442857142857,16.0157142857143,18.9521428571429,32.53,1
2012-05-14,3,8,0.375,"2012",3,1.4,85.6242857142857,16.4171428571429,18.3678571428571,17.75,1
2012-05-21,8,16,0.5,"2012",8,46.55,89.3942857142857,16.4792857142857,18.2328571428571,20.96,1
2012-05-28,7,12,0.583333333333333,"2012",7,41.57,89.8928571428571,14.7957142857143,18.7878571428571,24.18,1
2012-06-04,4,7,0.571428571428571,"2012",4,38.57,90.2042857142857,13.9721428571429,16.8314285714286,1.4,1
2012-06-11,12,21,0.571428571428571,"2012",12,32.47,90.7157142857143,13.905,16.0707142857143,46.55,1
2012-06-18,10,15,0.666666666666667,"2012",10,33.89,90.6885714285714,14.14,16.0157142857143,41.57,1
2012-06-25,9,14,0.642857142857143,"2012",9,1.58,87.0814285714286,13.2464285714286,16.4171428571429,38.57,1
2012-07-02,18,24,0.75,"2012",18,17.23,88.7942857142857,12.2707142857143,16.4792857142857,32.47,1
2012-07-09,6,11,0.545454545454545,"2012",6,15.89,89.1514285714286,12.4257142857143,14.7957142857143,33.89,1
2012-07-16,7,10,0.7,"2012",7,21.25,86.0714285714286,14.2607142857143,13.9721428571429,1.58,1
2012-07-23,12,17,0.705882352941177,"2012",12,16.51,87.2214285714286,13.1942857142857,13.905,17.23,1
2012-07-30,6,12,0.5,"2012",6,4.04,81.9371428571429,14.8607142857143,14.14,15.89,1
2012-08-06,6,15,0.4,"2012",6,6.2,87.7871428571429,14.4957142857143,13.2464285714286,21.25,1
2012-08-13,2,4,0.5,"2012",2,16.74,87.5428571428571,14.0064285714286,12.2707142857143,16.51,1
2012-08-20,0,5,0,"2012",0,10,86.6057142857143,13.0714285714286,12.4257142857143,4.04,1
2012-08-27,2,5,0.4,"2012",2,2.57,84.0714285714286,14.4485714285714,14.2607142857143,6.2,1
2012-09-03,1,3,0.333333333333333,"2012",1,37.58,85.0528571428571,14.3042857142857,13.1942857142857,16.74,1
2012-09-10,0,3,0,"2012",0,7.66,85.1342857142857,14.99,14.8607142857143,10,1
2012-09-17,1,7,0.142857142857143,"2012",1,10.23,84.8385714285714,15.205,14.4957142857143,2.57,1
2012-09-24,1,5,0.2,"2012",1,1.32,81.3671428571429,16.8028571428571,14.0064285714286,37.58,1
2012-10-01,1,10,0.1,"2012",1,2.71,80.5528571428571,15.9792857142857,13.0714285714286,7.66,1
2012-10-08,1,5,0.2,"2012",1,2.17,79.8314285714286,18.6357142857143,14.4485714285714,10.23,1
2012-10-15,0,6,0,"2012",0,47.18,79.3185714285714,18.1742857142857,14.3042857142857,1.32,1
2012-10-22,0,7,0,"2012",0,48.12,80.1857142857143,18.4885714285714,14.99,2.71,1
2012-10-29,0,4,0,"2012",0,29.3,82.5971428571429,17.4971428571429,15.205,2.17,1
2012-11-05,0,8,0,"2012",0,19.67,79.1157142857143,19.1171428571429,16.8028571428571,47.18,1
2012-11-12,3,12,0.25,"2012",3,28.29,81.3385714285714,19.4157142857143,15.9792857142857,48.12,1
2012-11-19,0,7,0,"2012",0,105,82.58,19.8614285714286,18.6357142857143,29.3,1
2012-11-26,0,4,0,"2012",0,126.54,84.4471428571429,18.5542857142857,18.1742857142857,19.67,1
2012-12-03,0,1,0,"2012",0,10.02,81.2128571428571,19.0378571428571,18.4885714285714,28.29,1
2012-12-10,1,6,0.166666666666667,"2012",1,80.46,83.1957142857143,19.38,17.4971428571429,105,1
2012-12-17,2,5,0.4,"2012",2,94.45,85.2228571428571,19.7014285714286,19.1171428571429,126.54,1
2012-12-24,0,9,0,"2012",0,48.99,84.3414285714286,19.4785714285714,19.4157142857143,10.02,1
2012-12-31,3,4,0.75,"2012",3,66.92,80.3571428571429,19.7864285714286,19.8614285714286,80.46,1
2013-01-07,11,15,0.733333333333333,"2013",11,36,85.7514285714286,19.1185714285714,18.5542857142857,94.45,1
2013-01-14,4,6,0.666666666666667,"2013",4,117.93,85.5285714285714,18.8578571428571,19.0378571428571,48.99,1
2013-01-21,3,12,0.25,"2013",3,114.73,87.3671428571429,20.7757142857143,19.38,66.92,1
2013-01-28,6,12,0.5,"2013",6,155.26,90.0171428571429,19.4521428571429,19.7014285714286,36,1
2013-02-04,15,20,0.75,"2013",15,86.62,87.0528571428571,19.7314285714286,19.4785714285714,117.93,1
2013-02-11,21,23,0.91304347826087,"2013",21,200.51,91.1885714285714,18.9321428571429,19.7864285714286,114.73,1
2013-02-18,14,17,0.823529411764706,"2013",14,56.74,90.1885714285714,19.4685714285714,19.1185714285714,155.26,1
2013-02-25,20,22,0.909090909090909,"2013",20,53.24,86.83,19.3021428571429,18.8578571428571,86.62,1
2013-03-04,15,18,0.833333333333333,"2013",15,41.14,88.92,18.4764285714286,20.7757142857143,200.51,1
2013-03-11,16,19,0.842105263157895,"2013",16,158.89,90.1685714285714,19.3964285714286,19.4521428571429,56.74,1
2013-03-18,9,15,0.6,"2013",9,160.36,89.8014285714286,19.1921428571429,19.7314285714286,53.24,1
2013-03-25,5,9,0.555555555555556,"2013",5,48.67,92.1342857142857,17.6921428571429,18.9321428571429,41.14,1
2013-04-01,4,9,0.444444444444444,"2013",4,4.8,88.25,17.5014285714286,19.4685714285714,158.89,1
2013-04-08,3,14,0.214285714285714,"2013",3,23.62,88.5085714285714,18.4064285714286,19.3021428571429,160.36,1
2013-04-15,4,7,0.571428571428571,"2013",4,9.43,88.7957142857143,16.9871428571429,18.4764285714286,48.67,1
2013-04-22,0,10,0,"2013",0,32.9,89.24,17.2292857142857,19.3964285714286,4.8,1
2013-04-29,0,5,0,"2013",0,13.6,89.1614285714286,16.135,19.1921428571429,23.62,1
2013-05-06,0,5,0,"2013",0,11.3,87.5071428571429,16.9928571428571,17.6921428571429,9.43,1
2013-05-13,0,10,0,"2013",0,27.75,90.2942857142857,15.7107142857143,17.5014285714286,32.9,1
2013-05-20,0,3,0,"2013",0,10.11,85.9285714285714,15.8157142857143,18.4064285714286,13.6,1
2013-05-27,0,6,0,"2013",0,8.8,81.16,14.7285714285714,16.9871428571429,11.3,1
2013-06-03,0,6,0,"2013",0,3.18,85.16,11.6142857142857,17.2292857142857,27.75,1
2013-06-10,0,8,0,"2013",0,5.13,87.4042857142857,13.3628571428571,16.135,10.11,1
2013-06-17,0,9,0,"2013",0,24.94,90.1271428571429,12.0864285714286,16.9928571428571,8.8,1
2013-06-24,0,5,0,"2013",0,13.06,85.83,13.435,15.7107142857143,3.18,1
2013-07-01,0,6,0,"2013",0,2.43,82.3214285714286,14.0707142857143,15.8157142857143,5.13,1
2013-07-29,1,1,1,"2013",1,17.05,87.1685714285714,12.5614285714286,14.7285714285714,24.94,1
2013-12-30,0,1,0,"2013",0,175.12,87.6814285714286,18.7114285714286,11.6142857142857,13.06,1
2014-01-06,0,8,0,"2014",0,89.15,88.8914285714286,19.52,13.3628571428571,2.43,1
2014-01-13,1,4,0.25,"2014",1,120.18,88.3557142857143,19.4528571428571,12.0864285714286,17.05,1
2014-01-20,1,4,0.25,"2014",1,65.52,90.3471428571429,19.4492857142857,13.435,175.12,1
2014-01-27,6,12,0.5,"2014",6,139.83,90.1157142857143,19.485,14.0707142857143,89.15,1
2014-02-03,7,14,0.5,"2014",7,78.6,88.5428571428571,20.3292857142857,12.5614285714286,120.18,1
2014-02-10,15,16,0.9375,"2014",15,57.6,88.57,18.9528571428571,18.7114285714286,65.52,1
2014-02-17,7,11,0.636363636363636,"2014",7,78.2,90.0785714285714,18.5907142857143,19.52,139.83,1
2014-02-24,17,26,0.653846153846154,"2014",17,89.53,88.68,18.7128571428571,19.4528571428571,78.6,1
2014-03-03,9,27,0.333333333333333,"2014",9,20.46,88.7242857142857,18.3007142857143,19.4492857142857,57.6,1
2014-03-10,8,13,0.615384615384615,"2014",8,15,87.3928571428571,19.3578571428571,19.485,78.2,1
2014-03-17,11,15,0.733333333333333,"2014",11,93.4,88.6242857142857,19.8364285714286,20.3292857142857,89.53,1
2014-03-24,0,1,0,"2014",0,37.94,88.1614285714286,17.6014285714286,18.9528571428571,20.46,1
2014-03-31,2,8,0.25,"2014",2,18.97,89.1157142857143,17.6814285714286,18.5907142857143,15,1
2014-04-07,3,9,0.333333333333333,"2014",3,20.2,87.8685714285714,15.9071428571429,18.7128571428571,93.4,1
2014-04-14,2,5,0.4,"2014",2,12.43,88.08,17.655,18.3007142857143,37.94,1
2014-04-21,0,2,0,"2014",0,1.02,85.5642857142857,17.4821428571429,19.3578571428571,18.97,1
2014-04-28,2,10,0.2,"2014",2,31.81,88.58,17.0557142857143,19.8364285714286,20.2,1
2014-05-05,0,7,0,"2014",0,9.17,88.73,16.4071428571429,17.6014285714286,12.43,1
2014-05-12,0,7,0,"2014",0,2.05,83.7685714285714,15.4578571428571,17.6814285714286,1.02,1
2014-05-19,0,7,0,"2014",0,18.31,88.8214285714286,14.3778571428571,15.9071428571429,31.81,1
2014-05-26,0,4,0,"2014",0,5.08,86.6157142857143,13.7057142857143,17.655,9.17,1
2014-06-09,0,6,0,"2014",0,19.27,86.9628571428571,12.7735714285714,17.4821428571429,2.05,1
2014-06-16,0,19,0,"2014",0,36.26,89.83,15.095,17.0557142857143,18.31,1
2014-06-23,0,14,0,"2014",0,11.5,87.8657142857143,12.52,16.4071428571429,5.08,1
2014-06-30,1,4,0.25,"2014",1,25.44,89.64,13.3157142857143,15.4578571428571,19.27,1
2014-07-07,0,1,0,"2014",0,22.62,84.7571428571429,12.0271428571429,14.3778571428571,36.26,1
2014-07-14,0,3,0,"2014",0,24.76,89.1428571428571,13.4885714285714,13.7057142857143,11.5,1
2014-07-21,0,8,0,"2014",0,48.36,89.64,14.1528571428571,12.7735714285714,25.44,1
2014-07-28,0,4,0,"2014",0,32.65,84.9285714285714,12.9914285714286,15.095,22.62,1
2014-08-04,0,2,0,"2014",0,16.97,88.2428571428571,13.37,12.52,24.76,1
2014-08-11,0,2,0,"2014",0,15.27,87.5271428571429,13.8171428571429,13.3157142857143,48.36,1
2014-08-18,0,6,0,"2014",0,4.1,81.1142857142857,14.3821428571429,12.0271428571429,32.65,1
2014-08-25,0,3,0,"2014",0,2.4,80.1528571428571,16.3285714285714,13.4885714285714,16.97,1
2014-09-01,0,1,0,"2014",0,18.18,84.8642857142857,14.3092857142857,14.1528571428571,15.27,1
2014-09-08,0,4,0,"2014",0,0.36,78.6685714285714,14.1357142857143,12.9914285714286,4.1,1
2014-09-15,0,5,0,"2014",0,2.96,81.8042857142857,15.3014285714286,13.37,2.4,1
2014-09-22,0,1,0,"2014",0,10.39,82.92,16.0214285714286,13.8171428571429,18.18,1
2014-09-29,0,2,0,"2014",0,7.87,79.07,18.2278571428571,14.3821428571429,0.36,1
2014-10-06,0,1,0,"2014",0,3.07,78.8928571428571,19.0071428571429,16.3285714285714,2.96,1
2014-10-13,0,1,0,"2014",0,3.67,74.7214285714286,19.1114285714286,14.3092857142857,10.39,1
2014-10-20,0,2,0,"2014",0,8.17,73.7057142857143,19.485,14.1357142857143,7.87,1
2014-10-27,0,4,0,"2014",0,19.07,77.8214285714286,18.0042857142857,15.3014285714286,3.07,1
2014-11-03,0,3,0,"2014",0,78.78,81.6528571428571,19.295,16.0214285714286,3.67,1
2014-11-17,0,2,0,"2014",0,54.3,80.74,19.8742857142857,18.2278571428571,8.17,1
2014-11-24,0,1,0,"2014",0,100.11,78.8142857142857,20.0385714285714,19.0071428571429,19.07,1
2014-12-01,0,2,0,"2014",0,57.4,77.2585714285714,20.0735714285714,19.1114285714286,78.78,1
2014-12-08,0,1,0,"2014",0,98.27,83.1528571428571,20.2714285714286,19.485,54.3,1
2015-01-12,0,1,0,"2015",0,193.77,90.17,19.4942857142857,18.0042857142857,100.11,1
2015-01-19,1,1,1,"2015",1,103.74,87.8385714285714,19.1692857142857,19.295,57.4,1
2015-01-26,0,3,0,"2015",0,112.18,87.4014285714286,18.9664285714286,19.8742857142857,98.27,1
2015-02-02,4,12,0.333333333333333,"2015",4,110.7,92.4471428571429,17.34,20.0385714285714,193.77,1
2015-02-09,2,8,0.25,"2015",2,136,91.2142857142857,18.8585714285714,20.0735714285714,103.74,1
2015-02-16,0,21,0,"2015",0,167.43,90.3042857142857,19.7178571428571,20.2714285714286,112.18,1
2015-02-23,7,24,0.291666666666667,"2015",7,204.78,92.0185714285714,18.6128571428571,19.4942857142857,110.7,1
2015-03-02,9,31,0.290322580645161,"2015",9,137.3,91.84,18.6685714285714,19.1692857142857,136,1
2015-03-09,12,27,0.444444444444444,"2015",12,82.11,90.6942857142857,18.365,18.9664285714286,167.43,1
2015-03-16,8,26,0.307692307692308,"2015",8,33.24,87.5985714285714,18.4814285714286,17.34,204.78,1
2015-03-23,5,28,0.178571428571429,"2015",5,10.45,86.7971428571429,18.7171428571429,18.8585714285714,137.3,1
2015-03-30,6,21,0.285714285714286,"2015",6,2.33,85.1357142857143,19.3585714285714,19.7178571428571,82.11,1
2015-04-06,5,7,0.714285714285714,"2015",5,12.33,82.4828571428571,18.4285714285714,18.6128571428571,33.24,1
2015-04-13,5,16,0.3125,"2015",5,10.32,86.5614285714286,18.3964285714286,18.6685714285714,10.45,1
2015-04-20,0,7,0,"2015",0,13.26,88.3485714285714,18.1278571428571,18.365,2.33,1
2015-04-27,0,4,0,"2015",0,18.96,84.9271428571429,17.9814285714286,18.4814285714286,12.33,1
2015-05-04,1,6,0.166666666666667,"2015",1,7.31,86.5157142857143,17.1271428571429,18.7171428571429,10.32,1
2015-05-11,0,4,0,"2015",0,11.47,88.1614285714286,17.235,19.3585714285714,13.26,1
2015-05-18,1,12,0.0833333333333333,"2015",1,15.55,87.7228571428571,15.5707142857143,18.4285714285714,18.96,1
2015-05-25,0,8,0,"2015",0,12.39,87.9214285714286,15.4092857142857,18.3964285714286,7.31,1
2015-06-01,1,14,0.0714285714285714,"2015",1,30.45,88.9728571428571,15.9428571428571,18.1278571428571,11.47,1
2015-06-08,2,12,0.166666666666667,"2015",2,17.18,86.6614285714286,15.1107142857143,17.9814285714286,15.55,1
2015-06-15,0,11,0,"2015",0,10.06,85.8485714285714,13.1735714285714,17.1271428571429,12.39,1
2015-06-22,0,2,0,"2015",0,29.21,89.4728571428571,14.4135714285714,17.235,30.45,1
2015-06-29,1,9,0.111111111111111,"2015",1,21.86,87.7514285714286,14.3892857142857,15.5707142857143,17.18,1
2015-07-06,1,11,0.0909090909090909,"2015",1,8.59,86.1714285714286,13.7078571428571,15.4092857142857,10.06,1
2015-07-13,1,6,0.166666666666667,"2015",1,15.15,87.76,12.805,15.9428571428571,29.21,1
2015-07-20,0,7,0,"2015",0,15.16,86.7514285714286,12.5242857142857,15.1107142857143,21.86,1
2015-07-27,0,5,0,"2015",0,13.26,80.2142857142857,14.1964285714286,13.1735714285714,8.59,1
2015-08-03,1,5,0.2,"2015",1,54.69,84.5957142857143,12.5164285714286,14.4135714285714,15.15,1
2015-08-10,0,6,0,"2015",0,10.51,86.1771428571429,14.3778571428571,14.3892857142857,15.16,1
2015-08-24,0,4,0,"2015",0,17.31,84.9,14.485,13.7078571428571,13.26,1
2015-08-31,0,5,0,"2015",0,12.13,84.7514285714286,14.7507142857143,12.805,54.69,1
2015-09-07,0,3,0,"2015",0,10.34,82.6428571428571,15.6607142857143,12.5242857142857,10.51,1
2015-09-14,0,2,0,"2015",0,3.89,79.3757142857143,16.3992857142857,14.1964285714286,17.31,1
2015-09-21,0,6,0,"2015",0,29.91,84.5728571428571,15.4821428571429,12.5164285714286,12.13,1
2015-09-28,0,2,0,"2015",0,3.68,81.59,16.3007142857143,14.3778571428571,10.34,1
2015-10-05,0,1,0,"2015",0,4.17,76.3285714285714,18.2307142857143,14.485,3.89,1
2015-10-12,0,3,0,"2015",0,10.41,80.8928571428571,17.74,14.7507142857143,29.91,1
2015-10-19,0,6,0,"2015",0,46.8,81,17.5964285714286,15.6607142857143,3.68,1
2015-10-26,0,6,0,"2015",0,55.44,84.9557142857143,18.2371428571429,16.3992857142857,4.17,1
2015-11-02,0,5,0,"2015",0,32.2,79.9828571428571,17.3392857142857,15.4821428571429,10.41,1
2015-11-09,0,2,0,"2015",0,1.14,70.7242857142857,19.1228571428571,16.3007142857143,46.8,1
2015-11-16,0,6,0,"2015",0,10.66,73.8042857142857,20.2542857142857,18.2307142857143,55.44,1
2015-11-23,0,3,0,"2015",0,77.57,81.34,20.7164285714286,17.74,32.2,1
2015-11-30,0,3,0,"2015",0,76.49,81.0085714285714,20.7042857142857,17.5964285714286,1.14,1
2015-12-07,0,2,0,"2015",0,42.02,79.7942857142857,21.8664285714286,18.2371428571429,10.66,1
2015-12-14,0,3,0,"2015",0,112.06,82.0014285714286,20.9378571428571,17.3392857142857,77.57,1
2015-12-21,0,1,0,"2015",0,201.48,85.7585714285714,20.1114285714286,19.1228571428571,76.49,1
2015-12-28,0,5,0,"2015",0,188.15,88.1614285714286,19.4307142857143,20.2542857142857,42.02,1
2016-01-04,0,5,0,"2016",0,106.39,85.6971428571429,19.2485714285714,20.7164285714286,112.06,1
2016-01-11,0,4,0,"2016",0,156.87,88.8071428571428,20.1514285714286,20.7042857142857,201.48,1
2016-01-18,1,12,0.0833333333333333,"2016",1,115.81,88.0357142857143,18.5921428571429,21.8664285714286,188.15,1
2016-01-25,1,4,0.25,"2016",1,111.06,87.8214285714286,19.6142857142857,20.9378571428571,106.39,1
2016-02-01,5,14,0.357142857142857,"2016",5,45.4,89.7142857142857,19.0685714285714,20.1114285714286,156.87,1
2016-02-08,2,7,0.285714285714286,"2016",2,45.48,88.7585714285714,19.6885714285714,19.4307142857143,115.81,1
2016-02-15,10,22,0.454545454545455,"2016",10,80.46,88.2942857142857,20.2021428571429,19.2485714285714,111.06,1
2016-02-22,10,18,0.555555555555556,"2016",10,99.75,86.3028571428571,19.3421428571429,20.1514285714286,45.4,1
2016-02-29,6,12,0.5,"2016",6,69.76,88.58,19.8514285714286,18.5921428571429,45.48,1
2016-03-07,9,14,0.642857142857143,"2016",9,75.08,87.4728571428571,19.8842857142857,19.6142857142857,80.46,1
2016-03-14,13,19,0.68421052631579,"2016",13,195.57,89.8842857142857,20.43,19.0685714285714,99.75,1
2016-03-21,6,7,0.857142857142857,"2016",6,168.25,92.5957142857143,20.2292857142857,19.6885714285714,69.76,1
2016-03-28,5,11,0.454545454545455,"2016",5,37.6,90.9985714285714,18.2085714285714,20.2021428571429,75.08,1
2016-04-04,6,15,0.4,"2016",6,14.61,88.6971428571429,18.6185714285714,19.3421428571429,195.57,1
2016-04-11,2,6,0.333333333333333,"2016",2,28.6,90.8642857142857,18.2942857142857,19.8514285714286,168.25,1
2016-04-18,3,10,0.3,"2016",3,36.08,87.6442857142857,18.1528571428571,19.8842857142857,37.6,1
2016-04-25,2,7,0.285714285714286,"2016",2,5.44,83.9185714285714,18.4414285714286,20.43,14.61,1
2016-05-02,3,6,0.5,"2016",3,20.41,87.3385714285714,17.1164285714286,20.2292857142857,28.6,1
2016-05-09,0,4,0,"2016",0,44.93,90.1871428571429,14.6214285714286,18.2085714285714,36.08,1
2016-05-16,0,2,0,"2016",0,28.23,88.0157142857143,13.0692857142857,18.6185714285714,5.44,1
2016-05-23,0,6,0,"2016",0,35.19,90.7757142857143,13.1307142857143,18.2942857142857,20.41,1
2016-05-30,0,7,0,"2016",0,36.26,90.4185714285714,15.1792857142857,18.1528571428571,44.93,1
2016-06-06,0,8,0,"2016",0,28.48,87.67,12.9407142857143,18.4414285714286,28.23,1
2016-06-13,0,9,0,"2016",0,61.37,92.3128571428571,13.3092857142857,17.1164285714286,35.19,1
2016-06-20,0,6,0,"2016",0,22.39,90.9642857142857,13.09,14.6214285714286,36.26,1
2016-06-27,0,12,0,"2016",0,8.53,90.34,11.6214285714286,13.0692857142857,28.48,1
2016-07-04,0,7,0,"2016",0,15.96,89.4471428571429,11.78,13.1307142857143,61.37,1
2016-07-11,1,10,0.1,"2016",1,31.5,90.2685714285714,11.8571428571429,15.1792857142857,22.39,1
2016-07-18,0,4,0,"2016",0,17.86,89.9014285714286,14.2221428571429,12.9407142857143,8.53,1
2016-07-25,1,3,0.333333333333333,"2016",1,10.07,83.8471428571429,12.9857142857143,13.3092857142857,15.96,1
2016-08-01,0,4,0,"2016",0,4.12,84.3857142857143,14.2085714285714,13.09,31.5,1
2016-08-08,0,2,0,"2016",0,9.59,85.7771428571429,14.2885714285714,11.6214285714286,17.86,1
2016-08-15,0,1,0,"2016",0,10.48,86.2414285714286,14.6792857142857,11.78,10.07,1
2016-08-22,0,5,0,"2016",0,3.9,84.0428571428571,13.8271428571429,11.8571428571429,4.12,1
2016-08-29,0,7,0,"2016",0,19.6,85.75,11.8542857142857,14.2221428571429,9.59,1
2016-09-05,0,3,0,"2016",0,7.53,84.0628571428571,14.62,12.9857142857143,10.48,1
2016-09-12,0,1,0,"2016",0,5.77,83.3857142857143,15.0642857142857,14.2085714285714,3.9,1
2016-10-10,0,1,0,"2016",0,38.08,80.6228571428571,18.1292857142857,14.2885714285714,19.6,1
2016-10-24,0,1,0,"2016",0,20.47,76.9928571428571,18.5635714285714,14.6792857142857,7.53,1
2016-10-31,0,1,0,"2016",0,26.41,80.1142857142857,18.7957142857143,13.8271428571429,5.77,1
2016-11-07,0,8,0,"2016",0,5.29,76.3214285714286,19.2478571428571,11.8542857142857,38.08,1
2016-11-14,0,4,0,"2016",0,115.51,81.6785714285714,19.8207142857143,14.62,20.47,1
