"epiweek","cases","tested","prevalence","year","cases_by_hospital","sum_precip","mean_H2M","meanTemp","meantempLag","precip_lag","n_hospitals"
2011-02-07,3,7,0.428571428571429,"2011",3,31.33,85.6428571428571,19.8392857142857,19.6475,111.84,1
2011-02-21,2,8,0.25,"2011",2,89.52,86.3842857142857,19.6492857142857,19.5235714285714,189.61,1
2011-02-28,2,4,0.5,"2011",2,88.43,88.9557142857143,19.1814285714286,20.1814285714286,92.12,1
2011-03-07,9,10,0.9,"2011",9,105.92,89.4657142857143,18.6528571428571,19.38,31.33,1
2011-03-14,8,14,0.571428571428571,"2011",8,69.41,89.6171428571429,17.4214285714286,19.4007142857143,89.52,1
2011-03-21,2,7,0.285714285714286,"2011",2,20.87,87.5185714285714,18.8735714285714,19.63,88.43,1
2011-03-28,0,1,0,"2011",0,57.36,89.5628571428571,18.9528571428571,19.8392857142857,105.92,1
2011-04-04,2,10,0.2,"2011",2,39.01,88.9457142857143,18.4828571428571,19.6492857142857,69.41,1
2011-04-11,3,6,0.5,"2011",3,17.22,84.5728571428571,18.61,19.1814285714286,20.87,1
2011-04-18,3,7,0.428571428571429,"2011",3,85.95,87.7128571428571,19.255,18.6528571428571,57.36,1
2011-04-25,0,4,0,"2011",0,36.35,86.3385714285714,18.5121428571429,17.4214285714286,39.01,1
2011-05-09,1,3,0.333333333333333,"2011",1,11.19,85.6428571428571,16.1778571428571,18.8735714285714,17.22,1
2011-05-16,0,3,0,"2011",0,5.41,85.7585714285714,16.0514285714286,18.9528571428571,85.95,1
2011-05-23,0,2,0,"2011",0,3.85,89.25,16.8571428571429,18.4828571428571,36.35,1
2011-05-30,0,4,0,"2011",0,5.19,87.8485714285714,15.5464285714286,18.61,11.19,1
2011-06-06,0,3,0,"2011",0,6.54,87.7942857142857,14.4535714285714,19.255,5.41,1
2011-06-13,0,1,0,"2011",0,19.8,87.7771428571429,14.9164285714286,18.5121428571429,3.85,1
2011-06-20,0,3,0,"2011",0,1.23,85.2771428571429,15.0171428571429,16.1778571428571,5.19,1
2011-06-27,0,4,0,"2011",0,1.97,85.8114285714286,14.4735714285714,16.0514285714286,6.54,1
2011-07-04,0,5,0,"2011",0,10.44,85.9642857142857,13.2364285714286,16.8571428571429,19.8,1
2011-07-11,0,8,0,"2011",0,12.59,88.9128571428571,12.495,15.5464285714286,1.23,1
2011-07-18,0,9,0,"2011",0,3.14,85.6514285714286,14.8978571428571,14.4535714285714,1.97,1
2011-07-25,0,5,0,"2011",0,5.48,83.6342857142857,14.78,14.9164285714286,10.44,1
2011-08-01,0,3,0,"2011",0,28.72,88.1871428571429,14.3221428571429,15.0171428571429,12.59,1
2011-08-08,0,1,0,"2011",0,4.84,83.4814285714286,14.6492857142857,14.4735714285714,3.14,1
2011-08-29,0,1,0,"2011",0,13.73,84.2757142857143,13.9628571428571,13.2364285714286,5.48,1
2011-09-05,0,4,0,"2011",0,4.11,82.1071428571429,14.9092857142857,12.495,28.72,1
2011-09-12,0,1,0,"2011",0,14.63,83.5714285714286,14.815,14.8978571428571,4.84,1
2011-09-19,0,4,0,"2011",0,6.89,79.1,17.1514285714286,14.78,13.73,1
2011-09-26,1,1,1,"2011",1,2.58,79.5357142857143,17.2042857142857,14.3221428571429,4.11,1
2011-10-03,0,3,0,"2011",0,44.73,80.7871428571429,16.5185714285714,14.6492857142857,14.63,1
2011-10-10,0,3,0,"2011",0,32.01,84.7157142857143,16.1721428571429,13.9628571428571,6.89,1
2011-10-17,0,5,0,"2011",0,47.93,81.3657142857143,18.5435714285714,14.9092857142857,2.58,1
2011-10-24,0,1,0,"2011",0,34.88,71.1071428571429,20.8364285714286,14.815,44.73,1
2011-11-07,0,2,0,"2011",0,29.99,82.2957142857143,18.0428571428571,17.1514285714286,32.01,1
2011-11-14,0,2,0,"2011",0,21.39,77.51,19.6614285714286,17.2042857142857,47.93,1
2011-11-21,0,2,0,"2011",0,35.64,79.8028571428571,20.23,16.5185714285714,34.88,1
2011-11-28,0,1,0,"2011",0,35.09,80.84,20.7978571428571,16.1721428571429,29.99,1
2011-12-05,0,2,0,"2011",0,114.14,84.0985714285714,19.1971428571429,18.5435714285714,21.39,1
2011-12-12,0,2,0,"2011",0,23.12,79.5357142857143,20.4785714285714,20.8364285714286,35.64,1
2011-12-19,0,1,0,"2011",0,3.3,75.2342857142857,19.785,18.0428571428571,35.09,1
2011-12-26,0,3,0,"2011",0,101.42,82.0014285714286,20.4735714285714,19.6614285714286,114.14,1
